"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","weightFisher","bh_adjust","bh_adjust_weight","ParentTerm","N_in_Parent"
"1","GO:0000082","G1/S transition of mitotic cell cycle",219,19,5.2,30,9.8e-07,4.3e-10,0.000277516129032258,3.69929e-06,"G1/S transition of mitotic cell cycle",8
"2","GO:0030174","regulation of DNA-templated DNA replicat...",6,5,0.14,9,4.2e-08,4.2e-08,3.98866363636364e-05,0.00017206,"regulation of DNA-templated DNA replication initiation",23
"3","GO:0042023","DNA endoreduplication",32,8,0.76,23,5.7e-07,6e-08,0.00020432125,0.00017206,"regulation of DNA-templated DNA replication initiation",23
"4","GO:0019725","cellular homeostasis",696,25,16.52,515,0.02381,1.1e-06,0.397742582524272,0.00157721666666667,"cellular homeostasis",3
"5","GO:0060249","anatomical structure homeostasis",385,19,9.14,219,0.00196,2e-06,0.0769948858447489,0.002458,"cellular homeostasis",3
"6","GO:0032481","positive regulation of type I interferon...",42,9,1,22,4.5e-07,3.2e-06,0.000175970454545455,0.0034412,"positive regulation of type I interferon production",3
"7","GO:0006297","nucleotide-excision repair, DNA gap fill...",21,6,0.5,45,6.7e-06,6.7e-06,0.00128089111111111,0.00640445555555556,"regulation of DNA-templated DNA replication initiation",23
"8","GO:0006268","DNA unwinding involved in DNA replicatio...",7,4,0.17,50,1e-05,1e-05,0.0017206,0.00782090909090909,"DNA unwinding involved in DNA replication",5
"9","GO:0002819","regulation of adaptive immune response",75,9,1.78,82,6.5e-05,1.2e-05,0.0068194512195122,0.008603,"regulation of adaptive immune response",4
"10","GO:0006915","apoptotic process",1164,44,27.63,176,0.00096,2e-05,0.0466603389830509,0.0120442,"apoptotic process",2
"11","GO:0006986","response to unfolded protein",124,16,2.94,7,3.2e-08,2.1e-05,3.7638125e-05,0.0120442,"response to unfolded protein",9
"12","GO:0048026","positive regulation of mRNA splicing, vi...",16,5,0.38,63,2.5e-05,2.5e-05,0.00341388888888889,0.0134421875,"positive regulation of mRNA splicing, via spliceosome",5
"13","GO:0098869","cellular oxidant detoxification",81,9,1.92,96,0.00012,2.7e-05,0.0106428865979381,0.0136635882352941,"cellular oxidant detoxification",10
"14","GO:0019985","translesion synthesis",39,9,0.93,18,2.3e-07,3.3e-05,0.000109927222222222,0.0157721666666667,"regulation of DNA-templated DNA replication initiation",23
"15","GO:1990834","response to odorant",9,4,0.21,69,3.5e-05,3.5e-05,0.00436384057971014,0.0158476315789474,"cellular oxidant detoxification",10
"16","GO:0032608","interferon-beta production",43,8,1.02,44,6.2e-06,4.9e-05,0.00121224090909091,0.02107735,"positive regulation of type I interferon production",3
"17","GO:1905710","positive regulation of membrane permeabi...",32,4,0.76,317,0.00659,5.2e-05,0.17770571875,0.0213026666666667,"positive regulation of membrane permeability",1
"18","GO:0002230","positive regulation of defense response ...",22,5,0.52,102,0.00014,0.00014,0.0116933980582524,0.0481768,"positive regulation of defense response to virus by host",5
"19","GO:0002697","regulation of immune effector process",206,16,4.89,66,2.9e-05,0.00015,0.00378010606060606,0.0496326923076923,"regulation of adaptive immune response",4
"20","GO:0002218","activation of innate immune response",129,14,3.06,33,2e-06,0.00016,0.000521393939393939,0.0509807407407407,"regulation of adaptive immune response",4
"21","GO:0016237","microautophagy",6,3,0.14,115,0.00025,0.00025,0.0183824786324786,0.0693790322580645,"microautophagy",1
"22","GO:0045471","response to ethanol",198,14,4.7,117,0.00025,0.00025,0.0183824786324786,0.0693790322580645,"cellular oxidant detoxification",10
"23","GO:0043488","regulation of mRNA stability",141,7,3.35,694,0.05047,0.00026,0.625638919308357,0.069899375,"positive regulation of mRNA splicing, via spliceosome",5
"24","GO:0051726","regulation of cell cycle",961,37,22.81,213,0.0019,0.00028,0.0761187096774194,0.0729951515151515,"G1/S transition of mitotic cell cycle",8
