Sample #,General Information,,,,Amount of Material,,,Miscellaneous,,QC Method Used By Customer ,,,Special Comments
,Sample Name*,Sample Type*,Species/Strain*,Sample Buffer*,Total Amount*,Volume (uL),Conc (ng/uL),Purification Method*,Biosafety Level (BSL),Method Used for Fluorescence,Method Used for Spectrophotometry,Method Used for Electrophoresis,
1,R55,Total RNA,Montipora capitata,DNAse/RNAse-free water,964.24,68,14.18,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
2,R56,Total RNA,Montipora capitata,DNAse/RNAse-free water,1193.4,68,17.55,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
3,R57,Total RNA,Montipora capitata,DNAse/RNAse-free water,1098.2,68,16.15,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
4,R58,Total RNA,Montipora capitata,DNAse/RNAse-free water,1207,68,17.75,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
5,R59,Total RNA,Montipora capitata,DNAse/RNAse-free water,1207,68,17.75,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
6,R60,Total RNA,Montipora capitata,DNAse/RNAse-free water,1570.8,68,23.1,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
7,R61,Total RNA,Montipora capitata,DNAse/RNAse-free water,1207,68,17.75,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
8,R62,Total RNA,Montipora capitata,DNAse/RNAse-free water,1455.2,68,21.4,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
9,R63,Total RNA,Montipora capitata,DNAse/RNAse-free water,1101.6,68,16.2,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
10,R64,Total RNA,Montipora capitata,DNAse/RNAse-free water,1876.8,68,27.6,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
11,R65,Total RNA,Montipora capitata,DNAse/RNAse-free water,1373.6,68,20.2,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
12,R66,Total RNA,Montipora capitata,DNAse/RNAse-free water,2747.2,68,40.4,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
13,R67,Total RNA,Montipora capitata,DNAse/RNAse-free water,1407.6,68,20.7,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
14,R68,Total RNA,Montipora capitata,DNAse/RNAse-free water,2169.2,68,31.9,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
15,R69,Total RNA,Montipora capitata,DNAse/RNAse-free water,1363.4,68,20.05,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
16,R70,Total RNA,Montipora capitata,DNAse/RNAse-free water,1693.2,68,24.9,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
17,R71,Total RNA,Montipora capitata,DNAse/RNAse-free water,1509.6,68,22.2,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
18,R72,Total RNA,Montipora capitata,DNAse/RNAse-free water,989.4,68,14.55,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
19,R73,Total RNA,Montipora capitata,DNAse/RNAse-free water,1530,68,22.5,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
20,R74,Total RNA,Montipora capitata,DNAse/RNAse-free water,1598,68,23.5,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
21,R75,Total RNA,Montipora capitata,DNAse/RNAse-free water,1094.8,68,16.1,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
22,R76,Total RNA,Montipora capitata,DNAse/RNAse-free water,1502.8,68,22.1,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
23,R77,Total RNA,Montipora capitata,DNAse/RNAse-free water,1421.2,68,20.9,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
24,R78,Total RNA,Montipora capitata,DNAse/RNAse-free water,1081.2,68,15.9,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
25,R79,Total RNA,Montipora capitata,DNAse/RNAse-free water,2747.2,68,40.4,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
26,R80,Total RNA,Montipora capitata,DNAse/RNAse-free water,1118.6,68,16.45,Column clean-up (Zymo Miniprep),None,Qubit,NA,1.5% TAE agarose non-denaturing gel ,
