ITS2 type profile UID		794667	793085	793301	793837	793835	793831	793631
Clade		C	C	C	D	D	D	D
Majority ITS2 sequence		C31	C31	C15	D1	D1	D1	D1
Associated species		None	None	None	None	None	None	None
ITS2 profile abundance local		14	4	1	9	2	1	1
ITS2 profile abundance DB		14	4	91	82	257	4	81
ITS2 type profile		C31-C17d-C21-C31al-C21ac-C31.1-C31a-C17e-C31.10	C31-C17d-C21-C31al-C21ac	C15	D1/D4-D6-D1ab-D17d-D17j	D1/D4/D1ab-D6-D4d	D1-D4-D6-D17d	D1/D4/D6/D1ab
200344	R55	0.8421302900618165	0	0	0	0	0	0
200349	R60	0.8395920898504788	0	0	0	0	0	0
200345	R56	0.8362460465493472	0	0	0	0	0	0
200346	R57	0.8329035786841694	0	0	0	0	0.0041217377715268	0
200347	R58	0.8274340142700137	0	0	0	0	0	0
200348	R59	0.8169759677564894	0	0	0	0	0	0
200359	R70	0.7330538085255066	0	0	0	0	0	0.13487071977638013
200358	R69	0.6847982982602749	0	0	0.1327205044442756	0	0	0
200354	R65	0.6484410677959065	0	0	0	0.2193714451778968	0	0
200361	R72	0.6419352117428717	0	0	0.18715201619706426	0	0	0
200356	R67	0.641838617681597	0	0	0.21080355645026005	0	0	0
200360	R71	0.6293369551796518	0	0	0.20780343252253364	0	0	0
200355	R66	0.5815108376015113	0	0	0.2665679954818984	0	0	0
200357	R68	0.5665393911794584	0	0	0.2606928924230217	0	0	0
200352	R63	0	0.5449369385718175	0	0	0.2663097722529716	0	0
200351	R62	0	0.5404110318389949	0	0.27384375110921805	0	0	0
200353	R64	0	0.5247725682295311	0	0.29205738278516447	0	0	0
200350	R61	0	0.41950572722919965	0.055449154727266026	0.34105557806342307	0	0	0
Sequence accession / SymPortal UID		62831-49066-41-455374-38924-62833-70819-70818-62837	62831-49066-41-455374-38924	517	853-854-933-1674-2582-1768	853-854-933-1674-1660	853-854-933-2582	853-854-933-1674
Average defining sequence proportions and [stdev]		0.390[0.025]-0.289[0.030]-0.107[0.009]-0.071[0.023]-0.040[0.009]-0.031[0.013]-0.030[0.006]-0.023[0.005]-0.019[0.009]	0.374[0.015]-0.273[0.016]-0.157[0.022]-0.134[0.010]-0.063[0.011]	1.000[nan]	0.438[0.020]-0.304[0.017]-0.167[0.010]-0.047[0.004]-0.025[0.014]-0.020[0.008]	0.454[0.015]-0.288[0.010]-0.186[0.006]-0.041[0.004]-0.031[0.008]	0.526[nan]-0.289[nan]-0.156[nan]-0.028[nan]	0.451[nan]-0.306[nan]-0.194[nan]-0.049[nan]
