ITS2 type profile UID		794667	793085	793301	793837	793835	793831	793631
Clade		C	C	C	D	D	D	D
Majority ITS2 sequence		C31	C31	C15	D1	D1	D1	D1
Associated species		None	None	None	None	None	None	None
ITS2 profile abundance local		14	4	1	9	2	1	1
ITS2 profile abundance DB		14	4	91	82	257	4	81
ITS2 type profile		C31-C17d-C21-C31al-C21ac-C31.1-C31a-C17e-C31.10	C31-C17d-C21-C31al-C21ac	C15	D1/D4-D6-D1ab-D17d-D17j	D1/D4/D1ab-D6-D4d	D1-D4-D6-D17d	D1/D4/D6/D1ab
200344	R55	33649.0	0	0	0	0	0	0
200349	R60	48740.0	0	0	0	0	0	0
200345	R56	41247.0	0	0	0	0	0	0
200346	R57	42638.0	0	0	0	0	211.0	0
200347	R58	47431.0	0	0	0	0	0	0
200348	R59	27162.0	0	0	0	0	0	0
200359	R70	2098.0	0	0	0	0	0	386.0
200358	R69	9014.0	0	0	1747.0	0	0	0
200354	R65	15619.0	0	0	0	5284.0	0	0
200361	R72	15219.0	0	0	4437.0	0	0	0
200356	R67	19130.0	0	0	6283.0	0	0	0
200360	R71	30582.0	0	0	10098.0	0	0	0
200355	R66	29860.0	0	0	13688.0	0	0	0
200357	R68	16173.0	0	0	7442.0	0	0	0
200352	R63	0	24023.0	0	0	11740.0	0	0
200351	R62	0	15225.0	0	7715.0	0	0	0
200353	R64	0	14998.0	0	8347.0	0	0	0
200350	R61	0	22780.0	3011.0	18520.0	0	0	0
Sequence accession / SymPortal UID		62831-49066-41-455374-38924-62833-70819-70818-62837	62831-49066-41-455374-38924	517	853-854-933-1674-2582-1768	853-854-933-1674-1660	853-854-933-2582	853-854-933-1674
Average defining sequence proportions and [stdev]		0.390[0.025]-0.289[0.030]-0.107[0.009]-0.071[0.023]-0.040[0.009]-0.031[0.013]-0.030[0.006]-0.023[0.005]-0.019[0.009]	0.374[0.015]-0.273[0.016]-0.157[0.022]-0.134[0.010]-0.063[0.011]	1.000[nan]	0.438[0.020]-0.304[0.017]-0.167[0.010]-0.047[0.004]-0.025[0.014]-0.020[0.008]	0.454[0.015]-0.288[0.010]-0.186[0.006]-0.041[0.004]-0.031[0.008]	0.526[nan]-0.289[nan]-0.156[nan]-0.028[nan]	0.451[nan]-0.306[nan]-0.194[nan]-0.049[nan]
