"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0002969","monounsaturated fatty acid",70,44,25.38,"2.7e-06","0.000391"
"LION:0000001","fatty acids [FA]",55,34,19.94,"6.9e-05","0.003335"
"LION:0001742","fatty acids and conjugates [FA01]",55,34,19.94,"6.9e-05","0.003335"
"LION:0000607","diacylglycerols [GL0201]",192,91,69.6,"0.00033","0.011890"
"LION:0002966","fatty acid with less than 2 double bonds",161,78,58.36,"0.00041","0.011890"
"LION:0012009","lipid-mediated signalling",411,172,148.99,"0.00190","0.045917"
"LION:0000603","diradylglycerols [GL02]",220,98,79.75,"0.00295","0.061107"
"LION:0002900","C16:1",5,5,1.81,"0.00616","0.102467"
"LION:0002945","fatty acid with more than 18 carbons",181,81,65.61,"0.00636","0.102467"
"LION:0022234","C17:1",9,7,3.26,"0.01353","0.196185"
"LION:0002956","fatty acid with 17 carbons",23,13,8.34,"0.03624","0.477709"
"LION:0000093","headgroup with negative charge",84,38,30.45,"0.04941","0.519271"
"LION:0002923","C18:2",11,7,3.99,"0.05936","0.519271"
"LION:0002964","fatty acid with 25 carbons",11,7,3.99,"0.05936","0.519271"
"LION:0022231","C17:0",11,7,3.99,"0.05936","0.519271"
"LION:0002951","fatty acid with more than 24 carbons",36,18,13.05,"0.06031","0.519271"
"LION:0022242","C19:1",5,4,1.81,"0.06088","0.519271"
"LION:0002949","fatty acid with 19-21 carbons",64,29,23.2,"0.07921","0.638081"
"LION:0001737","average transition temperature",10,6,3.62,"0.10944","0.776579"
"LION:0002931","C22:0",6,4,2.17,"0.13086","0.776579"
"LION:0002958","fatty acids with 19 carbons",15,8,5.44,"0.13314","0.776579"
"LION:0002925","C20:0",4,3,1.45,"0.13833","0.776579"
"LION:0002937","C22:6",4,3,1.45,"0.13833","0.776579"
"LION:0000100","fatty acid with 18 carbons or less",119,49,43.14,"0.13993","0.776579"
"LION:0000599","lysoglycerophospholipids",32,15,11.6,"0.14004","0.776579"
"LION:0002948","fatty acid with 16-18 carbons",88,37,31.9,"0.14417","0.776579"
"LION:0000464","negative intrinsic curvature",412,158,149.35,"0.14677","0.776579"
"LION:0002973","fatty acid with 5 double bonds",13,7,4.71,"0.14996","0.776579"
"LION:0002961","fatty acid with 22 carbons",35,16,12.69,"0.15745","0.783564"
"LION:0000030","diacylglycerophosphocholines [GP0101]",58,25,21.02,"0.16467","0.783564"
"LION:0080978","average lateral diffusion",11,6,3.99,"0.16954","0.783564"
"LION:0002955","fatty acid with 16 carbons",33,15,11.96,"0.17495","0.783564"
"LION:0002950","fatty acid with 22-24 carbons",82,34,29.72,"0.18339","0.783564"
"LION:0002953","fatty acid with 14 carbons",16,8,5.8,"0.18542","0.783564"
"LION:0002970","fatty acid with 2 double bonds",59,25,21.39,"0.19249","0.783564"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",31,14,11.24,"0.19454","0.783564"
"LION:0002947","fatty acid with 13-15 carbons",34,15,12.32,"0.21377","0.798624"
"LION:0002960","fatty acid with 21 carbons",19,9,6.89,"0.21661","0.798624"
"LION:0000462","C14:1",7,4,2.54,"0.22031","0.798624"
"LION:0080977","low lateral diffusion",7,4,2.54,"0.22031","0.798624"
"LION:0022273","C25:1",5,3,1.81,"0.25450","0.832354"
"LION:0000002","glycerolipids [GL]",424,159,153.7,"0.26896","0.832354"
"LION:0002965","fatty acid with 26 carbons",25,11,9.06,"0.26911","0.832354"
"LION:0080968","very low bilayer thickness",10,5,3.62,"0.27579","0.832354"
"LION:0080980","very high lateral diffusion",10,5,3.62,"0.27579","0.832354"
"LION:0000043","monoalkylglycerophosphoethanolamines [GP0206]",3,2,1.09,"0.29878","0.832354"
"LION:0002932","C22:1",3,2,1.09,"0.29878","0.832354"
"LION:0002941","C24:3",3,2,1.09,"0.29878","0.832354"
"LION:0002943","C24:5",3,2,1.09,"0.29878","0.832354"
"LION:0002979","C26:0",3,2,1.09,"0.29878","0.832354"
"LION:0002981","C26:1",3,2,1.09,"0.29878","0.832354"
"LION:0022262","C21:1",3,2,1.09,"0.29878","0.832354"
"LION:0002939","C24:1",8,4,2.9,"0.32032","0.832354"
"LION:0002974","fatty acid with 6 double bonds",8,4,2.9,"0.32032","0.832354"
"LION:0080974","above average bilayer thickness",8,4,2.9,"0.32032","0.832354"
"LION:0000622","triacylglycerols [GL0301]",120,46,43.5,"0.34170","0.832354"
"LION:0002968","saturated fatty acid",104,40,37.7,"0.34749","0.832354"
"LION:0000466","positive intrinsic curvature",48,19,17.4,"0.36370","0.832354"
"LION:0001735","very low transition temperature",6,3,2.17,"0.37813","0.832354"
"LION:0002928","C20:3",6,3,2.17,"0.37813","0.832354"
"LION:0002982","C26:2",6,3,2.17,"0.37813","0.832354"
"LION:0022263","C21:2",6,3,2.17,"0.37813","0.832354"
"LION:0080970","average bilayer thickness",6,3,2.17,"0.37813","0.832354"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",154,58,55.82,"0.37917","0.832354"
"LION:0002959","fatty acid with 20 carbons",30,12,10.88,"0.39900","0.832354"
"LION:0002967","polyunsaturated fatty acid",142,53,51.48,"0.42169","0.832354"
"LION:0000259","C14:0",9,4,3.26,"0.42248","0.832354"
"LION:0002922","C18:1",9,4,3.26,"0.42248","0.832354"
"LION:0002962","fatty acid with 23 carbons",9,4,3.26,"0.42248","0.832354"
"LION:0022230","C15:1",9,4,3.26,"0.42248","0.832354"
"LION:0080982","above average lateral diffusion",17,7,6.16,"0.42341","0.832354"
"LION:0000094","headgroup with neutral charge",437,160,158.41,"0.44440","0.832354"
"LION:0002978","fatty acid with more than 5 double bonds",12,5,4.35,"0.45316","0.832354"
"LION:0001738","high transition temperature",4,2,1.45,"0.45923","0.832354"
"LION:0022223","C13:0",4,2,1.45,"0.45923","0.832354"
"LION:0022241","C19:0",4,2,1.45,"0.45923","0.832354"
"LION:0022245","C19:2",4,2,1.45,"0.45923","0.832354"
"LION:0022261","C21:0",4,2,1.45,"0.45923","0.832354"
"LION:0022265","C21:4",4,2,1.45,"0.45923","0.832354"
"LION:0022267","C23:1",4,2,1.45,"0.45923","0.832354"
"LION:0000010","glycerophosphocholines [GP01]",216,79,78.3,"0.48566","0.857054"
"LION:0002882","C16:0",29,11,10.51,"0.49505","0.857054"
"LION:0080973","below average bilayer thickness",18,7,6.52,"0.49593","0.857054"
"LION:0080971","high bilayer thickness",7,3,2.54,"0.49650","0.857054"
"LION:0002963","fatty acid with 24 carbons",38,14,13.78,"0.53167","0.906966"
"LION:0012086","endosome/lysosome",25,9,9.06,"0.58631","0.979613"
