"input","LION name","LION ID","match"
"[#0001] 13-Docosenamide","not found","not found",""
"[#0002] AHexCer 36:2;O2|AHexCer (O-12:0)24:2;O2","C12:0","LION:0000254","smart matching"
"[#0002] AHexCer 36:2;O2|AHexCer (O-12:0)24:2;O2","C24:2","LION:0002940","smart matching"
"[#0003] AHexCer 38:3;O2|AHexCer (O-14:0)24:3;O2","C14:0","LION:0000259","smart matching"
"[#0003] AHexCer 38:3;O2|AHexCer (O-14:0)24:3;O2","C24:3","LION:0002941","smart matching"
"[#0004] AHexCer 39:1;O3|AHexCer (O-15:0)24:1;O3","C24:1","LION:0002939","smart matching"
"[#0004] AHexCer 39:1;O3|AHexCer (O-15:0)24:1;O3","C15:0","LION:0022229","smart matching"
"[#0005] AHexCer 40:2;O2|AHexCer (O-16:2)24:0;O2","C24:0","LION:0002938","smart matching"
"[#0006] AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3","C17:0","LION:0022231","smart matching"
"[#0006] AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3","C25:2","LION:0022274","smart matching"
"[#0007] AHexCer 42:3;O2|AHexCer (O-18:0)24:3;O2","C18:0","LION:0002921","smart matching"
"[#0007] AHexCer 42:3;O2|AHexCer (O-18:0)24:3;O2","C24:3","LION:0002941","smart matching"
"[#0008] AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2","C15:1","LION:0022230","smart matching"
"[#0009] AHexCer 43:3;O2|AHexCer (O-15:0)28:3;O2","C15:0","LION:0022229","smart matching"
"[#0010] AHexCer 43:4;O3|AHexCer (O-18:3)25:1;O3","C18:3","LION:0002924","smart matching"
"[#0010] AHexCer 43:4;O3|AHexCer (O-18:3)25:1;O3","C25:1","LION:0022273","smart matching"
"[#0011] AHexCer 43:5;O2|AHexCer (O-14:0)29:5;O2","C14:0","LION:0000259","smart matching"
"[#0012] AHexCer 45:3;O2|AHexCer (O-17:2)28:1;O2","C17:2","LION:0022236","smart matching"
