"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000010","glycerophosphocholines [GP01]",128,10,3.85,"0.00199","0.160"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",75,7,2.25,"0.00446","0.160"
"LION:0012080","endoplasmic reticulum (ER)",281,15,8.45,"0.00460","0.160"
"LION:0000003","glycerophospholipids [GP]",170,11,5.11,"0.00523","0.160"
"LION:0000467","contains ether-bond",90,7,2.71,"0.01247","0.304"
"LION:0000095","headgroup with positive charge / zwitter-ion",167,10,5.02,"0.01516","0.308"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",23,3,0.69,"0.02839","0.419"
"LION:0000599","lysoglycerophospholipids",23,3,0.69,"0.02839","0.419"
"LION:0000465","neutral intrinsic curvature",107,7,3.22,"0.03093","0.419"
"LION:0000466","positive intrinsic curvature",34,3,1.02,"0.07728","0.802"
"LION:0000728","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]",3,1,0.09,"0.08762","0.802"
"LION:0002937","C22:6",3,1,0.09,"0.08762","0.802"
"LION:0022263","C21:2",3,1,0.09,"0.08762","0.802"
"LION:0002947","fatty acid with 13-15 carbons",19,2,0.57,"0.10846","0.802"
"LION:0002966","fatty acid with less than 2 double bonds",87,5,2.62,"0.10927","0.802"
"LION:0002969","monounsaturated fatty acid",40,3,1.2,"0.11346","0.802"
"LION:0002974","fatty acid with 6 double bonds",4,1,0.12,"0.11516","0.802"
"LION:0002882","C16:0",20,2,0.6,"0.11836","0.802"
"LION:0000100","fatty acid with 18 carbons or less",68,4,2.04,"0.13948","0.813"
"LION:0000462","C14:1",5,1,0.15,"0.14190","0.813"
"LION:0002939","C24:1",5,1,0.15,"0.14190","0.813"
"LION:0002955","fatty acid with 16 carbons",23,2,0.69,"0.14932","0.813"
"LION:0012010","membrane component",336,13,10.1,"0.15321","0.813"
"LION:0002978","fatty acid with more than 5 double bonds",7,1,0.21,"0.19309","0.942"
"LION:0022230","C15:1",7,1,0.21,"0.19309","0.942"
"LION:0002953","fatty acid with 14 carbons",8,1,0.24,"0.21757","1.000"
"LION:0002960","fatty acid with 21 carbons",9,1,0.27,"0.24135","1.000"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",120,5,3.61,"0.28612","1.000"
"LION:0002954","fatty acid with 15 carbons",11,1,0.33,"0.28683","1.000"
"LION:0012009","lipid-mediated signalling",289,10,8.69,"0.35645","1.000"
"LION:0000093","headgroup with negative charge",43,2,1.29,"0.37491","1.000"
"LION:0012082","plasma membrane",136,5,4.09,"0.38939","1.000"
"LION:0000004","sphingolipids [SP]",146,5,4.39,"0.45513","1.000"
"LION:0002950","fatty acid with 22-24 carbons",51,2,1.53,"0.46180","1.000"
"LION:0002948","fatty acid with 16-18 carbons",53,2,1.59,"0.48255","1.000"
"LION:0002961","fatty acid with 22 carbons",23,1,0.69,"0.50962","1.000"
"LION:0002963","fatty acid with 24 carbons",23,1,0.69,"0.50962","1.000"
"LION:0002968","saturated fatty acid",59,2,1.77,"0.54204","1.000"
"LION:0000001","fatty acids [FA]",26,1,0.78,"0.55388","1.000"
"LION:0001742","fatty acids and conjugates [FA01]",26,1,0.78,"0.55388","1.000"
"LION:0012081","mitochondrion",30,1,0.9,"0.60698","1.000"
"LION:0002945","fatty acid with more than 18 carbons",102,3,3.07,"0.61171","1.000"
"LION:0002949","fatty acid with 19-21 carbons",31,1,0.93,"0.61928","1.000"
"LION:0002970","fatty acid with 2 double bonds",35,1,1.05,"0.66489","1.000"
"LION:0000464","negative intrinsic curvature",288,8,8.66,"0.68862","1.000"
"LION:0002967","polyunsaturated fatty acid",88,2,2.65,"0.76450","1.000"
"LION:0002976","fatty acid with more than 3 double bonds",55,1,1.65,"0.82487","1.000"
"LION:0000607","diacylglycerols [GL0201]",118,2,3.55,"0.89345","1.000"
"LION:0000603","diradylglycerols [GL02]",142,2,4.27,"0.94703","1.000"
