ITS2 type profile UID		797700	799603	798782	798780	798578	798776
Clade		C	C	D	D	D	D
Majority ITS2 sequence		C31	C31	D1	D1	D1	D1
Associated species		None	None	None	None	None	None
ITS2 profile abundance local		10	8	9	2	1	1
ITS2 profile abundance DB		82	336	86	257	81	7
ITS2 type profile		C31-C17d-C21-C31.1-C31a-C17e-C21ac-C31.10	C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f	D1/D4-D6-D1ab-D17d-D17j	D1/D4/D1ab-D6-D4d	D1/D4/D6/D1ab	D1/D6-D4-D17d
197960	R60	0.8448287742024392	0	0	0	0	0
197955	R55	0.8421302900618165	0	0	0	0	0
197956	R56	0.8418214256751277	0	0	0	0	0
197957	R57	0.8386271292389436	0	0	0	0	0.0041217377715268
197958	R58	0.8326500706522688	0	0	0	0	0
197959	R59	0.8242548199837579	0	0	0	0	0
197965	R65	0.6526757171918462	0	0	0.2193714451778968	0	0
197972	R72	0.6419352117428717	0	0.18715201619706426	0	0	0
197971	R71	0.6345639379347244	0	0.20780343252253364	0	0	0
197968	R68	0.5710932847584685	0	0.2606928924230217	0	0	0
197970	R70	0	0.7354996505939901	0	0	0.13487071977638013	0
197969	R69	0	0.6897363822836738	0.1327205044442756	0	0	0
197967	R67	0	0.6561315215567858	0.21080355645026005	0	0	0
197963	R63	0	0.5963614916976681	0	0.2663097722529716	0	0
197966	R66	0	0.5900212272877758	0.2665679954818984	0	0	0
197962	R62	0	0.5893941007347461	0.27384375110921805	0	0	0
197964	R64	0	0.5748775367389783	0.29205738278516447	0	0	0
197961	R61	0	0.4635925011970093	0.34105557806342307	0	0	0
Sequence accession / SymPortal UID		62831-49066-41-38924-62833-70819-70818-62837	62831-49066-41-38924-70819-70818-70820-62836	853-854-933-1674-2582-1768	853-854-933-1674-1660	853-854-933-1674	853-854-933-2582
Average defining sequence proportions and [stdev]		0.453[0.029]-0.288[0.028]-0.104[0.007]-0.039[0.008]-0.037[0.010]-0.032[0.006]-0.024[0.005]-0.022[0.010]	0.465[0.020]-0.281[0.035]-0.126[0.024]-0.049[0.013]-0.028[0.006]-0.019[0.003]-0.016[0.006]-0.015[0.003]	0.438[0.020]-0.304[0.017]-0.167[0.010]-0.047[0.004]-0.025[0.014]-0.020[0.008]	0.454[0.015]-0.288[0.010]-0.186[0.006]-0.041[0.004]-0.031[0.008]	0.451[nan]-0.306[nan]-0.194[nan]-0.049[nan]	0.526[nan]-0.289[nan]-0.156[nan]-0.028[nan]
