Date,Sample.ID,Chamber.ID,SDR,Tank,PAR,Symbiont,Type,Salinity,Run,Volume,Org.Number,Notes
20221024,1,A1,641,C1,NA,NA,Blank,36,1,0.00008,NA,
20221024,7,B1,641,C1,100,Cladocopium,Sample,36,1,0.00008,5,
20221024,13,C1,641,C1,100,Cladocopium,Sample,36,1,0.00008,5,
20221024,19,D1,641,C1,100,Cladocopium,Sample,36,1,0.00008,6,
20221024,2,A2,641,D1,NA,NA,Blank,36,1,0.00008,NA,
20221024,8,B2,641,D1,100,Durusdinium,Sample,36,1,0.00008,5,
20221024,14,C2,641,D1,100,Durusdinium,Sample,36,1,0.00008,5,
20221024,20,D2,641,D1,100,Durusdinium,Sample,36,1,0.00008,5,
20221024,3,A3,641,C2,NA,NA,Blank,36,1,0.00008,NA,
20221024,9,B3,641,C2,100,Cladocopium,Sample,36,1,0.00008,5,
20221024,15,C3,641,C2,100,Cladocopium,Sample,36,1,0.00008,5,
20221024,21,D3,641,C2,100,Cladocopium,Sample,36,1,0.00008,5,
20221024,4,A4,641,C2,NA,NA,Blank,36,1,0.00008,NA,
20221024,10,B4,641,D2,100,Durusdinium,Sample,36,1,0.00008,5,
20221024,16,C4,641,D2,100,Durusdinium,Sample,36,1,0.00008,5,
20221024,22,D4,641,D2,100,Durusdinium,Sample,36,1,0.00008,5,
20221024,5,A5,641,C3,NA,NA,Blank,36,1,0.00008,NA,
20221024,11,B5,641,C3,100,Cladocopium,Sample,36,1,0.00008,5,
20221024,17,C5,641,C3,100,Cladocopium,Sample,36,1,0.00008,5,
20221024,23,D5,641,D3,100,Cladocopium,Sample,36,1,0.00008,5,
20221024,6,A6,641,D3,NA,NA,Blank,36,1,0.00008,NA,
20221024,12,B6,641,D3,100,Durusdinium,Sample,36,1,0.00008,5,
20221024,18,C6,641,D3,100,Durusdinium,Sample,36,1,0.00008,5,
20221024,24,D6,641,D3,100,Durusdinium,Sample,36,1,0.00008,5,
20221024,1,A1,710,A1,NA,NA,Blank,36,2,0.00008,5,
20221024,7,B1,710,A1,1000,Cladocopium,Sample,36,2,0.00008,4,
20221024,13,C1,710,A1,1000,Cladocopium,Sample,36,2,0.00008,5,
20221024,19,D1,710,NA,1000,Cladocopium,Sample,36,2,0.00008,NA,
20221024,2,A2,710,A2,NA,NA,Blank,36,2,0.00008,5,
20221024,8,B2,710,A2,1000,Durusdinium,Sample,36,2,0.00008,4,
20221024,14,C2,710,A2,1000,Durusdinium,Sample,36,2,0.00008,5,
20221024,20,D2,710,NA,1000,Durusdinium,Sample,36,2,0.00008,NA,
20221024,3,A3,710,A3,NA,NA,Blank,36,2,0.00008,5,
20221024,9,B3,710,A3,1000,Cladocopium,Sample,36,2,0.00008,5,
20221024,15,C3,710,A3,1000,Cladocopium,Sample,36,2,0.00008,5,
20221024,21,D3,710,NA,1000,Cladocopium,Sample,36,2,0.00008,NA,
20221024,4,A4,710,B1,NA,NA,Blank,36,2,0.00008,5,
20221024,10,B4,710,B1,1000,Durusdinium,Sample,36,2,0.00008,5,
20221024,16,C4,710,B1,1000,Durusdinium,Sample,36,2,0.00008,5,
20221024,22,D4,710,NA,1000,Durusdinium,Sample,36,2,0.00008,NA,
20221024,5,A5,710,B2,NA,NA,Blank,36,2,0.00008,5,
20221024,11,B5,710,B2,1000,Cladocopium,Sample,36,2,0.00008,5,
20221024,17,C5,710,B2,1000,Cladocopium,Sample,36,2,0.00008,5,
20221024,23,D5,710,NA,1000,Cladocopium,Sample,36,2,0.00008,NA,
20221024,6,A6,710,B3,NA,NA,Blank,36,2,0.00008,5,
20221024,12,B6,710,B3,1000,Durusdinium,Sample,36,2,0.00008,5,
20221024,18,C6,710,B3,1000,Durusdinium,Sample,36,2,0.00008,5,
20221024,24,D6,710,NA,1000,Durusdinium,Sample,36,2,0.00008,NA,
20221024,1,A1,641,A4,NA,NA,Blank,36,3,0.00008,5,
20221024,7,B1,641,A4,0,Cladocopium,Sample,36,3,0.00008,5,
20221024,13,C1,641,NA,0,Cladocopium,Sample,36,3,0.00008,NA,
20221024,19,D1,641,A4,0,Cladocopium,Sample,36,3,0.00008,5,
20221024,2,A2,641,A5,NA,NA,Blank,36,3,0.00008,5,
20221024,8,B2,641,A5,0,Durusdinium,Sample,36,3,0.00008,5,
20221024,14,C2,641,NA,0,Durusdinium,Sample,36,3,0.00008,NA,
20221024,20,D2,641,A5,0,Durusdinium,Sample,36,3,0.00008,5,
