Date,SDR,Run,Plate,Well,Light_Level,Light_Value,IntervalStart,IntervalStop,Slope,Intercept
20230622,641,2,Plate03,A1,1,0,0,21,-0.7814289912262258,187.94844234079162
20230622,641,2,Plate03,B1,1,0,0,21,-0.8797977215893338,190.94550819672142
20230622,641,2,Plate03,C1,1,0,0,21,-0.7834152070466729,186.02507563025205
20230622,641,2,Plate03,D1,1,0,0,21,-1.4580648259303763,197.10500360144064
20230622,641,2,Plate03,A2,1,0,0,21,-0.6397293233082619,182.68695864661623
20230622,641,2,Plate03,B2,1,0,0,21,-0.908904728156322,196.45191036414562
20230622,641,2,Plate03,C2,1,0,0,21,-0.9202846228118035,191.69920427354015
20230622,641,2,Plate03,D2,1,0,0,21,-1.0760974036445823,195.23916142557673
20230622,641,2,Plate03,A3,1,0,0,21,-0.8456134453781514,175.36305882352943
20230622,641,2,Plate03,B3,1,0,0,21,-0.956928217069961,193.85729691876756
20230622,641,2,Plate03,C3,1,0,0,21,-0.578309947234707,195.27754856361148
20230622,641,2,Plate03,D3,1,0,0,21,-0.8341532854105462,193.47847389558217
20230622,641,2,Plate03,A4,1,0,0,21,-0.8484665718349904,183.48484912280696
20230622,641,2,Plate03,B4,1,0,0,21,-0.5779743954480784,179.9159055476529
20230622,641,2,Plate03,C4,1,0,0,21,-0.39260787688569687,190.81580672268922
20230622,641,2,Plate03,D4,1,0,0,21,-1.1406890803000815,185.36672205242192
20230622,641,2,Plate03,A5,1,0,0,21,-0.43674115358325954,192.88852147852148
20230622,641,2,Plate03,B5,1,0,0,21,-0.5663052569865114,187.36961696306412
20230622,641,2,Plate03,C5,1,0,0,21,-0.5712596942391399,191.66312885154056
20230622,641,2,Plate03,D5,1,0,0,21,-1.243368379910103,190.46360328317374
20230622,641,2,Plate03,A6,1,0,0,21,-0.22648977604673892,190.67062804284328
20230622,641,2,Plate03,B6,1,0,0,21,-0.7644590163934413,185.21465573770485
20230622,641,2,Plate03,C6,1,0,0,21,-1.0111637136782443,192.0903473389357
20230622,641,2,Plate03,D6,1,0,0,21,-0.5793457103771765,188.9806593707252
20230622,641,2,Plate03,A1,2,16,23,47,-0.6724652850831081,185.66917157584703
20230622,641,2,Plate03,B1,2,16,23,47,-0.277573792729252,179.83405030294858
20230622,641,2,Plate03,C1,2,16,23,47,-0.39667630969914,179.6752172312226
20230622,641,2,Plate03,D1,2,16,23,47,-0.5299737008205363,193.39402798232712
20230622,641,2,Plate03,A2,2,16,23,47,0.12525036818851096,166.4481958762888
20230622,641,2,Plate03,B2,2,16,23,47,-0.47860044070368113,190.15108398656216
20230622,641,2,Plate03,C2,2,16,23,47,-0.2512581527456354,175.17888070692203
20230622,641,2,Plate03,D2,2,16,23,47,-0.3066468546181374,189.28459867452148
20230622,641,2,Plate03,A3,2,16,23,47,-0.4731584373304417,166.93910883523256
20230622,641,2,Plate03,B3,2,16,23,47,-0.158204292026088,175.20715022091306
20230622,641,2,Plate03,C3,2,16,23,47,-0.1576130864717028,188.32150957290136
20230622,641,2,Plate03,D3,2,16,23,47,-0.33526371780515,181.95841419372894
20230622,641,2,Plate03,A4,2,16,23,47,-0.40266095097833077,184.72684462444784
20230622,641,2,Plate03,B4,2,16,23,47,0.0014790658531458744,163.01400589101618
20230622,641,2,Plate03,C4,2,16,23,47,-0.2005375552282781,186.98036082474235
20230622,641,2,Plate03,D4,2,16,23,47,-0.5756374921102463,169.11927098674522
20230622,641,2,Plate03,A5,2,16,23,47,-0.018586156111931696,183.89206185567028
20230622,641,2,Plate03,B5,2,16,23,47,-0.31227382705659773,183.17979013254802
20230622,641,2,Plate03,C5,2,16,23,47,-0.28381811487481373,186.46270618556682
20230622,641,2,Plate03,D5,2,16,23,47,-0.6862271197138671,180.629083210604
20230622,641,2,Plate03,A6,2,16,23,47,-0.22589417210183046,194.7925846833579
20230622,641,2,Plate03,B6,2,16,23,47,-0.03832316431727475,166.55914580265107
20230622,641,2,Plate03,C6,2,16,23,47,-0.40739585524932,179.35493740795317
20230622,641,2,Plate03,D6,2,16,23,47,-0.22610255018990935,182.61720143787318
20230622,641,2,Plate03,A1,3,60,49,57,-0.6584491978609676,184.6096256684495
20230622,641,2,Plate03,B1,3,60,49,57,-0.11695187165775314,170.64875222816394
20230622,641,2,Plate03,C1,3,60,49,57,0.30319518716577365,145.92792780748672
20230622,641,2,Plate03,D1,3,60,49,57,0.41191176470588414,148.26685828876992
20230622,641,2,Plate03,A2,3,60,49,57,0.47312834224599154,145.34147058823513
20230622,641,2,Plate03,B2,3,60,49,57,0.2193048128342325,152.92532976827044
20230622,641,2,Plate03,C2,3,60,49,57,0.02447860962566207,161.57263368983996
20230622,641,2,Plate03,D2,3,60,49,57,-0.08981283422460129,178.10159536541903
20230622,641,2,Plate03,A3,3,60,49,57,0.15156417112299275,135.70891711229956
20230622,641,2,Plate03,B3,3,60,49,57,-0.6079812834224577,198.4675534759357
20230622,641,2,Plate03,C3,3,60,49,57,0.1343315508021358,175.32467023172924
20230622,641,2,Plate03,D3,3,60,49,57,-0.4681818181818262,189.04666666666714
20230622,641,2,Plate03,A4,3,60,49,57,-0.3845187165775409,180.3482798573975
20230622,641,2,Plate03,B4,3,60,49,57,-0.34546791443850133,178.55858734402838
20230622,641,2,Plate03,C4,3,60,49,57,-0.3378445747800546,192.3904930351904
20230622,641,2,Plate03,D4,3,60,49,57,-0.4128074866310257,157.55788770053533
20230622,641,2,Plate03,A5,3,60,49,57,-0.31693850267379503,197.21713458110503
20230622,641,2,Plate03,B5,3,60,49,57,0.186377005347589,158.48626114082023
20230622,641,2,Plate03,C5,3,60,49,57,-0.02102941176471119,174.9163770053479
