"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0002882","C16:0",20,6,1.67,"0.0041","0.500"
"LION:0002955","fatty acid with 16 carbons",23,6,1.92,"0.0088","0.537"
"LION:0000004","sphingolipids [SP]",146,19,12.21,"0.0220","0.627"
"LION:0012082","plasma membrane",136,18,11.38,"0.0222","0.627"
"LION:0002948","fatty acid with 16-18 carbons",53,9,4.43,"0.0257","0.627"
"LION:0000100","fatty acid with 18 carbons or less",68,10,5.69,"0.0475","0.817"
"LION:0080971","high bilayer thickness",5,2,0.42,"0.0584","0.817"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",120,15,10.04,"0.0594","0.817"
"LION:0022234","C17:1",6,2,0.5,"0.0830","0.817"
"LION:0080974","above average bilayer thickness",6,2,0.5,"0.0830","0.817"
"LION:0080977","low lateral diffusion",6,2,0.5,"0.0830","0.817"
"LION:0002966","fatty acid with less than 2 double bonds",87,11,7.28,"0.0967","0.817"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",14,3,1.17,"0.1045","0.817"
"LION:0002969","monounsaturated fatty acid",40,6,3.35,"0.1080","0.817"
"LION:0002968","saturated fatty acid",59,8,4.94,"0.1088","0.817"
"LION:0002923","C18:2",7,2,0.59,"0.1101","0.817"
"LION:0000464","negative intrinsic curvature",288,29,24.09,"0.1181","0.817"
"LION:0002957","fatty acid with 18 carbons",32,5,2.68,"0.1206","0.817"
"LION:0001737","average transition temperature",8,2,0.67,"0.1390","0.871"
"LION:0012086","endosome/lysosome",16,3,1.34,"0.1428","0.871"
"LION:0012009","lipid-mediated signalling",289,28,24.18,"0.1850","1.000"
"LION:0002947","fatty acid with 13-15 carbons",19,3,1.59,"0.2073","1.000"
"LION:0000014","glycerophosphoglycerols [GP04]",3,1,0.25,"0.2308","1.000"
"LION:0000259","C14:0",3,1,0.25,"0.2308","1.000"
"LION:0002922","C18:1",3,1,0.25,"0.2308","1.000"
"LION:0000030","diacylglycerophosphocholines [GP0101]",30,4,2.51,"0.2371","1.000"
"LION:0002956","fatty acid with 17 carbons",12,2,1,"0.2653","1.000"
"LION:0012080","endoplasmic reticulum (ER)",281,26,23.51,"0.2925","1.000"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",4,1,0.33,"0.2954","1.000"
"LION:0001738","high transition temperature",4,1,0.33,"0.2954","1.000"
"LION:0002900","C16:1",4,1,0.33,"0.2954","1.000"
"LION:0080970","average bilayer thickness",4,1,0.33,"0.2954","1.000"
"LION:0002938","C24:0",5,1,0.42,"0.3547","1.000"
"LION:0002939","C24:1",5,1,0.42,"0.3547","1.000"
"LION:0022229","C15:0",5,1,0.42,"0.3547","1.000"
"LION:0002921","C18:0",15,2,1.25,"0.3616","1.000"
"LION:0000607","diacylglycerols [GL0201]",118,11,9.87,"0.3975","1.000"
"LION:0000603","diradylglycerols [GL02]",142,13,11.88,"0.4066","1.000"
"LION:0000047","diacylglycerophosphoinositols [GP0601]",6,1,0.5,"0.4090","1.000"
"LION:0022231","C17:0",6,1,0.5,"0.4090","1.000"
"LION:0012010","membrane component",336,29,28.11,"0.4574","1.000"
"LION:0002929","C20:4",7,1,0.59,"0.4589","1.000"
"LION:0002935","C22:4",7,1,0.59,"0.4589","1.000"
"LION:0000093","headgroup with negative charge",43,4,3.6,"0.4931","1.000"
"LION:0000012","glycerophosphoinositols [GP06]",8,1,0.67,"0.5046","1.000"
"LION:0002953","fatty acid with 14 carbons",8,1,0.67,"0.5046","1.000"
"LION:0080978","average lateral diffusion",8,1,0.67,"0.5046","1.000"
"LION:0002972","fatty acid with 4 double bonds",20,2,1.67,"0.5102","1.000"
"LION:0000465","neutral intrinsic curvature",107,9,8.95,"0.5526","1.000"
"LION:0012017","hexosylceramides",10,1,0.84,"0.5848","1.000"
"LION:0002963","fatty acid with 24 carbons",23,2,1.92,"0.5882","1.000"
"LION:0000608","1-alkyl,2-acylglycerols [GL0202]",24,2,2.01,"0.6121","1.000"
"LION:0002954","fatty acid with 15 carbons",11,1,0.92,"0.6200","1.000"
"LION:0000001","fatty acids [FA]",26,2,2.18,"0.6568","1.000"
"LION:0001742","fatty acids and conjugates [FA01]",26,2,2.18,"0.6568","1.000"
"LION:0000095","headgroup with positive charge / zwitter-ion",167,13,13.97,"0.6718","1.000"
"LION:0002965","fatty acid with 26 carbons",14,1,1.17,"0.7089","1.000"
"LION:0012081","mitochondrion",30,2,2.51,"0.7341","1.000"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",75,5,6.27,"0.7761","1.000"
"LION:0000010","glycerophosphocholines [GP01]",128,9,10.71,"0.7761","1.000"
"LION:0002959","fatty acid with 20 carbons",17,1,1.42,"0.7773","1.000"
"LION:0000003","glycerophospholipids [GP]",170,12,14.22,"0.8019","1.000"
"LION:0002970","fatty acid with 2 double bonds",35,2,2.93,"0.8097","1.000"
"LION:0002950","fatty acid with 22-24 carbons",51,3,4.27,"0.8206","1.000"
"LION:0002951","fatty acid with more than 24 carbons",20,1,1.67,"0.8297","1.000"
"LION:0002961","fatty acid with 22 carbons",23,1,1.92,"0.8700","1.000"
"LION:0000011","glycerophosphoethanolamines [GP02]",25,1,2.09,"0.8915","1.000"
"LION:0000467","contains ether-bond",90,5,7.53,"0.8958","1.000"
"LION:0002977","fatty acid with 3-5 double bonds",48,2,4.02,"0.9253","1.000"
"LION:0002949","fatty acid with 19-21 carbons",31,1,2.59,"0.9371","1.000"
"LION:0002945","fatty acid with more than 18 carbons",102,5,8.53,"0.9478","1.000"
"LION:0000466","positive intrinsic curvature",34,1,2.84,"0.9521","1.000"
"LION:0002967","polyunsaturated fatty acid",88,4,7.36,"0.9529","1.000"
"LION:0002976","fatty acid with more than 3 double bonds",55,2,4.6,"0.9562","1.000"
"LION:0000623","alkyldiacylglycerols [GL0302]",64,2,5.35,"0.9786","1.000"
"LION:0000094","headgroup with neutral charge",332,20,27.78,"0.9864","1.000"
"LION:0000002","glycerolipids [GL]",324,19,27.11,"0.9896","1.000"
"LION:0000622","triacylglycerols [GL0301]",115,4,9.62,"0.9929","1.000"
"LION:0000604","triradylglycerols [GL03]",179,6,14.98,"0.9993","1.000"
"LION:0012011","lipid storage",180,6,15.06,"0.9993","1.000"
"LION:0012084","lipid droplet",180,6,15.06,"0.9993","1.000"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",23,0,1.92,"1.0000","1.000"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",13,0,1.09,"1.0000","1.000"
"LION:0000040","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]",4,0,0.33,"1.0000","1.000"
"LION:0000043","monoalkylglycerophosphoethanolamines [GP0206]",3,0,0.25,"1.0000","1.000"
"LION:0000254","C12:0",3,0,0.25,"1.0000","1.000"
"LION:0000462","C14:1",5,0,0.42,"1.0000","1.000"
"LION:0000599","lysoglycerophospholipids",23,0,1.92,"1.0000","1.000"
"LION:0000619","monoacylglycerols [GL0101]",3,0,0.25,"1.0000","1.000"
"LION:0000728","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]",3,0,0.25,"1.0000","1.000"
"LION:0001734","contains vinyl ether bond (plasmalogen)",4,0,0.33,"1.0000","1.000"
"LION:0001735","very low transition temperature",4,0,0.33,"1.0000","1.000"
"LION:0001736","low transition temperature",3,0,0.25,"1.0000","1.000"
"LION:0001741","below average transition temperature",7,0,0.59,"1.0000","1.000"
"LION:0002924","C18:3",9,0,0.75,"1.0000","1.000"
"LION:0002928","C20:3",3,0,0.25,"1.0000","1.000"
"LION:0002931","C22:0",3,0,0.25,"1.0000","1.000"
"LION:0002933","C22:2",3,0,0.25,"1.0000","1.000"
"LION:0002934","C22:3",3,0,0.25,"1.0000","1.000"
"LION:0002936","C22:5",3,0,0.25,"1.0000","1.000"
"LION:0002937","C22:6",3,0,0.25,"1.0000","1.000"
"LION:0002940","C24:2",10,0,0.84,"1.0000","1.000"
"LION:0002958","fatty acids with 19 carbons",5,0,0.42,"1.0000","1.000"
"LION:0002960","fatty acid with 21 carbons",9,0,0.75,"1.0000","1.000"
"LION:0002962","fatty acid with 23 carbons",5,0,0.42,"1.0000","1.000"
"LION:0002964","fatty acid with 25 carbons",6,0,0.5,"1.0000","1.000"
"LION:0002971","fatty acid with 3 double bonds",20,0,1.67,"1.0000","1.000"
"LION:0002973","fatty acid with 5 double bonds",8,0,0.67,"1.0000","1.000"
"LION:0002974","fatty acid with 6 double bonds",4,0,0.33,"1.0000","1.000"
"LION:0002978","fatty acid with more than 5 double bonds",7,0,0.59,"1.0000","1.000"
"LION:0002982","C26:2",5,0,0.42,"1.0000","1.000"
"LION:0002987","C26:7",3,0,0.25,"1.0000","1.000"
"LION:0022230","C15:1",7,0,0.59,"1.0000","1.000"
"LION:0022236","C17:2",3,0,0.25,"1.0000","1.000"
"LION:0022263","C21:2",3,0,0.25,"1.0000","1.000"
"LION:0022267","C23:1",3,0,0.25,"1.0000","1.000"
"LION:0080968","very low bilayer thickness",4,0,0.33,"1.0000","1.000"
"LION:0080969","low bilayer thickness",5,0,0.42,"1.0000","1.000"
"LION:0080973","below average bilayer thickness",9,0,0.75,"1.0000","1.000"
"LION:0080979","high lateral diffusion",4,0,0.33,"1.0000","1.000"
"LION:0080980","very high lateral diffusion",4,0,0.33,"1.0000","1.000"
"LION:0080982","above average lateral diffusion",7,0,0.59,"1.0000","1.000"
