"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0002977","fatty acid with 3-5 double bonds",48,5,1.95,"0.039","1"
"LION:0002976","fatty acid with more than 3 double bonds",55,5,2.23,"0.064","1"
"LION:0000001","fatty acids [FA]",26,3,1.05,"0.083","1"
"LION:0001742","fatty acids and conjugates [FA01]",26,3,1.05,"0.083","1"
"LION:0002945","fatty acid with more than 18 carbons",102,7,4.13,"0.105","1"
"LION:0002936","C22:5",3,1,0.12,"0.117","1"
"LION:0022236","C17:2",3,1,0.12,"0.117","1"
"LION:0012086","endosome/lysosome",16,2,0.65,"0.134","1"
"LION:0002967","polyunsaturated fatty acid",88,6,3.57,"0.135","1"
"LION:0002950","fatty acid with 22-24 carbons",51,4,2.07,"0.145","1"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",4,1,0.16,"0.153","1"
"LION:0001738","high transition temperature",4,1,0.16,"0.153","1"
"LION:0080970","average bilayer thickness",4,1,0.16,"0.153","1"
"LION:0002938","C24:0",5,1,0.2,"0.187","1"
"LION:0002962","fatty acid with 23 carbons",5,1,0.2,"0.187","1"
"LION:0002951","fatty acid with more than 24 carbons",20,2,0.81,"0.192","1"
"LION:0002971","fatty acid with 3 double bonds",20,2,0.81,"0.192","1"
"LION:0002972","fatty acid with 4 double bonds",20,2,0.81,"0.192","1"
"LION:0002964","fatty acid with 25 carbons",6,1,0.24,"0.220","1"
"LION:0080977","low lateral diffusion",6,1,0.24,"0.220","1"
"LION:0000094","headgroup with neutral charge",332,16,13.45,"0.224","1"
"LION:0002961","fatty acid with 22 carbons",23,2,0.93,"0.238","1"
"LION:0000093","headgroup with negative charge",43,3,1.74,"0.250","1"
"LION:0002935","C22:4",7,1,0.28,"0.252","1"
"LION:0000623","alkyldiacylglycerols [GL0302]",64,4,2.59,"0.256","1"
"LION:0002973","fatty acid with 5 double bonds",8,1,0.32,"0.283","1"
"LION:0080978","average lateral diffusion",8,1,0.32,"0.283","1"
"LION:0012011","lipid storage",180,9,7.29,"0.292","1"
"LION:0012084","lipid droplet",180,9,7.29,"0.292","1"
"LION:0000002","glycerolipids [GL]",324,15,13.13,"0.304","1"
"LION:0002924","C18:3",9,1,0.36,"0.312","1"
"LION:0002960","fatty acid with 21 carbons",9,1,0.36,"0.312","1"
"LION:0000607","diacylglycerols [GL0201]",118,6,4.78,"0.341","1"
"LION:0000603","diradylglycerols [GL02]",142,7,5.75,"0.348","1"
"LION:0002956","fatty acid with 17 carbons",12,1,0.49,"0.394","1"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",14,1,0.57,"0.442","1"
"LION:0002965","fatty acid with 26 carbons",14,1,0.57,"0.442","1"
"LION:0000604","triradylglycerols [GL03]",179,8,7.25,"0.444","1"
"LION:0002969","monounsaturated fatty acid",40,2,1.62,"0.491","1"
"LION:0012010","membrane component",336,14,13.62,"0.514","1"
"LION:0000095","headgroup with positive charge / zwitter-ion",167,7,6.77,"0.532","1"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",75,3,3.04,"0.602","1"
"LION:0000010","glycerophosphocholines [GP01]",128,5,5.19,"0.614","1"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",23,1,0.93,"0.619","1"
"LION:0000599","lysoglycerophospholipids",23,1,0.93,"0.619","1"
"LION:0002963","fatty acid with 24 carbons",23,1,0.93,"0.619","1"
"LION:0000608","1-alkyl,2-acylglycerols [GL0202]",24,1,0.97,"0.635","1"
"LION:0002948","fatty acid with 16-18 carbons",53,2,2.15,"0.649","1"
"LION:0000011","glycerophosphoethanolamines [GP02]",25,1,1.01,"0.650","1"
"LION:0000465","neutral intrinsic curvature",107,4,4.34,"0.652","1"
"LION:0000464","negative intrinsic curvature",288,11,11.67,"0.666","1"
"LION:0012009","lipid-mediated signalling",289,11,11.71,"0.672","1"
"LION:0002966","fatty acid with less than 2 double bonds",87,3,3.53,"0.706","1"
"LION:0000622","triacylglycerols [GL0301]",115,4,4.66,"0.711","1"
"LION:0000030","diacylglycerophosphocholines [GP0101]",30,1,1.22,"0.718","1"
"LION:0012081","mitochondrion",30,1,1.22,"0.718","1"
