"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0000100","fatty acid with 18 carbons or less",68,6,2.49,"0.031","0.919"
"LION:0000465","neutral intrinsic curvature",107,8,3.92,"0.031","0.919"
"LION:0000031","1-alkyl,2-acylglycerophosphocholines [GP0102]",75,6,2.75,"0.047","0.919"
"LION:0002956","fatty acid with 17 carbons",12,2,0.44,"0.068","0.919"
"LION:0000010","glycerophosphocholines [GP01]",128,8,4.68,"0.079","0.919"
"LION:0000467","contains ether-bond",90,6,3.29,"0.099","0.919"
"LION:0002921","C18:0",15,2,0.55,"0.101","0.919"
"LION:0000014","glycerophosphoglycerols [GP04]",3,1,0.11,"0.106","0.919"
"LION:0022236","C17:2",3,1,0.11,"0.106","0.919"
"LION:0022263","C21:2",3,1,0.11,"0.106","0.919"
"LION:0002948","fatty acid with 16-18 carbons",53,4,1.94,"0.122","0.919"
"LION:0002970","fatty acid with 2 double bonds",35,3,1.28,"0.131","0.919"
"LION:0000095","headgroup with positive charge / zwitter-ion",167,9,6.11,"0.134","0.919"
"LION:0001738","high transition temperature",4,1,0.15,"0.139","0.919"
"LION:0000003","glycerophospholipids [GP]",170,9,6.22,"0.146","0.919"
"LION:0002947","fatty acid with 13-15 carbons",19,2,0.7,"0.151","0.919"
"LION:0000462","C14:1",5,1,0.18,"0.171","0.919"
"LION:0002958","fatty acids with 19 carbons",5,1,0.18,"0.171","0.919"
"LION:0002962","fatty acid with 23 carbons",5,1,0.18,"0.171","0.919"
"LION:0012080","endoplasmic reticulum (ER)",281,13,10.28,"0.187","0.919"
"LION:0012010","membrane component",336,15,12.3,"0.196","0.919"
"LION:0002964","fatty acid with 25 carbons",6,1,0.22,"0.201","0.919"
"LION:0022231","C17:0",6,1,0.22,"0.201","0.919"
"LION:0080974","above average bilayer thickness",6,1,0.22,"0.201","0.919"
"LION:0080977","low lateral diffusion",6,1,0.22,"0.201","0.919"
"LION:0002966","fatty acid with less than 2 double bonds",87,5,3.18,"0.204","0.919"
"LION:0000093","headgroup with negative charge",43,3,1.57,"0.204","0.919"
"LION:0002967","polyunsaturated fatty acid",88,5,3.22,"0.211","0.919"
"LION:0022230","C15:1",7,1,0.26,"0.231","0.958"
"LION:0000001","fatty acids [FA]",26,2,0.95,"0.245","0.958"
"LION:0001742","fatty acids and conjugates [FA01]",26,2,0.95,"0.245","0.958"
"LION:0002953","fatty acid with 14 carbons",8,1,0.29,"0.259","0.958"
"LION:0002973","fatty acid with 5 double bonds",8,1,0.29,"0.259","0.958"
"LION:0000004","sphingolipids [SP]",146,7,5.34,"0.275","0.987"
"LION:0002960","fatty acid with 21 carbons",9,1,0.33,"0.286","0.997"
"LION:0000030","diacylglycerophosphocholines [GP0101]",30,2,1.1,"0.301","1.000"
"LION:0012017","hexosylceramides",10,1,0.37,"0.313","1.000"
"LION:0002949","fatty acid with 19-21 carbons",31,2,1.13,"0.315","1.000"
"LION:0002957","fatty acid with 18 carbons",32,2,1.17,"0.329","1.000"
"LION:0002954","fatty acid with 15 carbons",11,1,0.4,"0.338","1.000"
"LION:0002968","saturated fatty acid",59,3,2.16,"0.368","1.000"
"LION:0012082","plasma membrane",136,6,4.98,"0.378","1.000"
"LION:0000084","ceramide phosphocholines (sphingomyelins) [SP0301]",14,1,0.51,"0.409","1.000"
"LION:0002969","monounsaturated fatty acid",40,2,1.46,"0.437","1.000"
"LION:0012086","endosome/lysosome",16,1,0.59,"0.453","1.000"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",120,5,4.39,"0.454","1.000"
"LION:0002945","fatty acid with more than 18 carbons",102,4,3.73,"0.526","1.000"
"LION:0002951","fatty acid with more than 24 carbons",20,1,0.73,"0.530","1.000"
"LION:0002971","fatty acid with 3 double bonds",20,1,0.73,"0.530","1.000"
"LION:0002977","fatty acid with 3-5 double bonds",48,2,1.76,"0.536","1.000"
"LION:0000608","1-alkyl,2-acylglycerols [GL0202]",24,1,0.88,"0.597","1.000"
"LION:0002976","fatty acid with more than 3 double bonds",55,2,2.01,"0.613","1.000"
"LION:0012081","mitochondrion",30,1,1.1,"0.680","1.000"
