"","Date","Sample.ID","Chamber.ID","SDR","Tank","Temperature","Type","Salinity","Plate.","Run","Volume","Org.Number","Notes","Plate","Resp.Intercept","R.umol.L.min","R.umol.min","R.Blank.umol.min","R.umol.min.corr","R.umol.org.min","R.nmol.org.min"
"1","20230705",1,"A1",641,NA,27,"Sample",33,1,1,8e-05,8,NA,2,186.798998296008,-1.09852482960078,-8.78819863680624e-05,-7.34811409009195e-05,-1.44008454671429e-05,-1.80010568339286e-06,-0.00180010568339286
"2","20230705",7,"B1",641,NA,27,"Sample",33,1,1,8e-05,16,NA,2,187.784288266041,-1.05092085442647,-8.40736683541176e-05,-7.34811409009195e-05,-1.05925274531981e-05,-6.62032965824881e-07,-0.000662032965824881
"3","20230705",19,"D1",641,NA,27,"Sample",33,1,1,8e-05,12,NA,2,188.774026217229,-1.03602996254682,-8.28823970037456e-05,-7.34811409009195e-05,-9.40125610282608e-06,-7.8343800856884e-07,-0.00078343800856884
"4","20230705",8,"B2",641,NA,27,"Sample",33,1,1,8e-05,20,NA,2,197.060461827685,-0.512415521068526,-4.09932416854821e-05,-7.34811409009195e-05,3.24878992154374e-05,1.62439496077187e-06,0.00162439496077187
"5","20230705",14,"C2",641,NA,27,"Sample",33,1,1,8e-05,8,NA,2,189.507995914198,-1.13884984678243,-9.11079877425944e-05,-7.34811409009195e-05,-1.76268468416749e-05,-2.20335585520936e-06,-0.00220335585520936
"6","20230705",20,"D2",641,NA,27,"Sample",33,1,1,8e-05,16,NA,2,187.388528707248,-0.676831542988848,-5.41465234391078e-05,-7.34811409009195e-05,1.93346174618117e-05,1.20841359136323e-06,0.00120841359136323
"7","20230705",3,"A3",641,NA,27,"Sample",33,1,1,8e-05,8,NA,2,196.605792525773,-0.817068693456767,-6.53654954765414e-05,-7.34811409009195e-05,8.11564542437815e-06,1.01445567804727e-06,0.00101445567804727
"8","20230705",9,"B3",641,NA,27,"Sample",33,1,1,8e-05,12,NA,2,185.315818177861,-1.01686268107661,-8.13490144861288e-05,-7.34811409009195e-05,-7.86787358520928e-06,-6.55656132100774e-07,-0.000655656132100774
"9","20230705",15,"C3",641,NA,27,"Sample",33,1,1,8e-05,20,NA,2,189.762378256963,-1.00432884097035,-8.0346307277628e-05,-7.34811409009195e-05,-6.86516637670848e-06,-3.43258318835424e-07,-0.000343258318835424
"10","20230705",21,"D3",641,NA,27,"Sample",33,1,1,8e-05,20,NA,2,189.945282474804,-0.541304031354984,-4.33043225083987e-05,-7.34811409009195e-05,3.01768183925208e-05,1.50884091962604e-06,0.00150884091962604
